Datetime,QQQM,^VIX,VOO
2025-03-13 07:15:00+00:00,,24.799999237060547,
2025-03-13 07:30:00+00:00,,25.06999969482422,
2025-03-13 07:45:00+00:00,,25.200000762939453,
2025-03-13 08:00:00+00:00,194.98,25.059999465942383,510.76
2025-03-13 08:15:00+00:00,195.01,24.93000030517578,511.39
2025-03-13 08:30:00+00:00,194.88,24.93000030517578,511.22
2025-03-13 08:45:00+00:00,,24.780000686645508,511.78
2025-03-13 09:00:00+00:00,195.02,24.719999313354492,511.99
2025-03-13 09:15:00+00:00,195.8,24.59000015258789,512.87
2025-03-13 09:30:00+00:00,195.95,24.399999618530273,513.5
2025-03-13 09:45:00+00:00,196.21,24.270000457763672,513.97
2025-03-13 10:00:00+00:00,196.31,24.219999313354492,514.25
2025-03-13 10:15:00+00:00,196.4,24.15999984741211,514.36
2025-03-13 10:30:00+00:00,196.49,24.139999389648438,514.41
2025-03-13 10:45:00+00:00,195.95,24.299999237060547,513.64
2025-03-13 11:00:00+00:00,195.94,24.3799991607666,513.39
2025-03-13 11:15:00+00:00,196.09,24.469999313354492,513.05
2025-03-13 11:30:00+00:00,195.58,24.59000015258789,512.23
2025-03-13 11:45:00+00:00,195.67,24.389999389648438,512.9
2025-03-13 12:00:00+00:00,195.09,24.719999313354492,511.5017
2025-03-13 12:15:00+00:00,195.33,24.549999237060547,512.2725
2025-03-13 12:30:00+00:00,195.88,24.34000015258789,513.02
2025-03-13 12:45:00+00:00,195.81,24.290000915527344,513.1615
2025-03-13 13:00:00+00:00,195.829,24.25,513.1617
2025-03-13 13:15:00+00:00,196.0796,24.15999984741211,
2025-03-13 13:30:00+00:00,195.0800018310547,24.239999771118164,512.1900024414062
2025-03-13 13:45:00+00:00,194.07000732421875,24.59000015258789,510.3450012207031
2025-03-13 14:00:00+00:00,195.10000610351562,23.979999542236328,512.7100219726562
2025-03-13 14:15:00+00:00,195.1114959716797,23.709999084472656,512.2999877929688
2025-03-13 14:30:00+00:00,194.63909912109375,23.799999237060547,511.6000061035156
