Datetime,^VIX,QQQM,VOO
2025-04-09 07:15:00+00:00,49.90999984741211,,
2025-04-09 07:30:00+00:00,48.15999984741211,,
2025-04-09 07:45:00+00:00,48.97999954223633,,
2025-04-09 08:00:00+00:00,50.54999923706055,171.86,455.44
2025-04-09 08:15:00+00:00,50.59000015258789,171.75,454.81
2025-04-09 08:30:00+00:00,49.86000061035156,171.67,455.9
2025-04-09 08:45:00+00:00,48.5099983215332,172.5,457.56
2025-04-09 09:00:00+00:00,47.97999954223633,172.61,457.95
2025-04-09 09:15:00+00:00,48.38999938964844,171.93,456.93
2025-04-09 09:30:00+00:00,49.119998931884766,172.0,456.07
2025-04-09 09:45:00+00:00,49.61000061035156,171.78,455.5
2025-04-09 10:00:00+00:00,49.619998931884766,171.41,455.33
2025-04-09 10:15:00+00:00,50.79999923706055,171.02,453.61
2025-04-09 10:30:00+00:00,50.790000915527344,170.69,454.47
2025-04-09 10:45:00+00:00,49.20000076293945,171.42,454.82
2025-04-09 11:00:00+00:00,53.20000076293945,169.55,450.99
2025-04-09 11:15:00+00:00,54.939998626708984,169.5,450.85
2025-04-09 11:30:00+00:00,57.810001373291016,168.0,446.74
2025-04-09 11:45:00+00:00,56.02000045776367,168.76,448.48
2025-04-09 12:00:00+00:00,56.09000015258789,169.0,449.11
2025-04-09 12:15:00+00:00,57.130001068115234,168.5795,447.66
2025-04-09 12:30:00+00:00,56.2599983215332,169.2786,449.6097
2025-04-09 12:45:00+00:00,53.869998931884766,170.5493,451.65
2025-04-09 13:00:00+00:00,53.08000183105469,171.06,453.46
2025-04-09 13:15:00+00:00,52.65999984741211,171.05,
2025-04-09 13:30:00+00:00,49.95000076293945,172.63499450683594,457.7619934082031
2025-04-09 13:45:00+00:00,49.75,173.41510009765625,459.45001220703125
2025-04-09 14:00:00+00:00,51.08000183105469,172.5,456.9421081542969
2025-04-09 14:15:00+00:00,50.150001525878906,173.44500732421875,458.6000061035156
2025-04-09 14:30:00+00:00,50.709999084472656,173.14010620117188,457.42999267578125
2025-04-09 14:45:00+00:00,52.470001220703125,171.2100067138672,453.2865905761719
2025-04-09 15:00:00+00:00,51.119998931884766,172.48019409179688,456.32000732421875
2025-04-09 15:15:00+00:00,50.150001525878906,172.98609924316406,457.95001220703125
2025-04-09 15:30:00+00:00,51.68000030517578,171.72000122070312,455.1300048828125
2025-04-09 15:45:00+00:00,51.209999084472656,172.18690490722656,455.8599853515625
2025-04-09 16:00:00+00:00,49.119998931884766,173.7899932861328,459.44989013671875
2025-04-09 16:15:00+00:00,49.939998626708984,173.52499389648438,458.7900085449219
2025-04-09 16:30:00+00:00,49.75,173.74000549316406,459.3599853515625
2025-04-09 16:45:00+00:00,49.16999816894531,174.25999450683594,460.55999755859375
