Datetime,^VIX,VOO,QQQM
2025-04-01 07:15:00+00:00,22.260000228881836,,
2025-04-01 07:30:00+00:00,22.329999923706055,,
2025-04-01 07:45:00+00:00,22.350000381469727,,
2025-04-01 08:00:00+00:00,22.40999984741211,512.43,192.53
2025-04-01 08:15:00+00:00,22.200000762939453,513.05,193.06
2025-04-01 08:30:00+00:00,22.1299991607666,513.53,193.2
2025-04-01 08:45:00+00:00,22.079999923706055,513.75,193.22
2025-04-01 09:00:00+00:00,22.139999389648438,513.72,193.24
2025-04-01 09:15:00+00:00,22.100000381469727,513.78,
2025-04-01 09:30:00+00:00,22.0,514.42,193.59
2025-04-01 09:45:00+00:00,22.049999237060547,514.29,193.45
2025-04-01 10:00:00+00:00,22.40999984741211,512.76,193.0
2025-04-01 10:15:00+00:00,22.610000610351562,512.09,192.54
2025-04-01 10:30:00+00:00,22.65999984741211,511.87,192.53
2025-04-01 10:45:00+00:00,22.559999465942383,512.31,192.73
2025-04-01 11:00:00+00:00,22.75,511.54,192.45
2025-04-01 11:15:00+00:00,22.93000030517578,511.37,192.189
2025-04-01 11:30:00+00:00,23.1200008392334,511.05,191.979
2025-04-01 11:45:00+00:00,22.959999084472656,511.25,192.139
2025-04-01 12:00:00+00:00,22.8799991607666,511.64,192.226
2025-04-01 12:15:00+00:00,22.959999084472656,511.29,192.096
2025-04-01 12:30:00+00:00,22.8799991607666,511.46,192.239
2025-04-01 12:45:00+00:00,22.6299991607666,511.99,192.4695
2025-04-01 13:00:00+00:00,22.43000030517578,512.7,192.63
2025-04-01 13:15:00+00:00,22.43000030517578,,192.35
2025-04-01 13:30:00+00:00,22.68000030517578,511.8999938964844,192.58999633789062
2025-04-01 13:45:00+00:00,22.469999313354492,512.010009765625,192.52000427246094
2025-04-01 14:00:00+00:00,23.40999984741211,509.4549865722656,191.6300048828125
2025-04-01 14:15:00+00:00,23.020000457763672,510.3949890136719,191.95509338378906
2025-04-01 14:30:00+00:00,22.329999923706055,512.8300170898438,193.0
